Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-07-14,The Terminator,1984,https://boxd.it/1ZyzUN,3,Yes,,2021-07-13
2021-07-15,She's All That,1999,https://boxd.it/1ZKRhj,2,,,2021-07-14
2021-07-17,Climax,2018,https://boxd.it/202mYd,4,,,2021-07-16
2021-07-20,The Piano Teacher,2001,https://boxd.it/20yEyV,4.5,,,2021-07-19
2021-07-21,Upstream Color,2013,https://boxd.it/20GLef,4.5,,,2021-07-20
2021-07-22,Before Midnight,2013,https://boxd.it/20PALP,4,,,2021-07-21
2021-07-24,F for Fake,1973,https://boxd.it/212CTx,4.5,,,2021-07-23
2021-07-26,La La Land,2016,https://boxd.it/21qoej,5,,,2021-07-25
2021-07-27,The 400 Blows,1959,https://boxd.it/21w9x3,4,,,2021-07-26
2021-07-28,Badlands,1973,https://boxd.it/21HHPx,4,,,2021-07-27
2021-07-31,Terminator 2: Judgment Day,1991,https://boxd.it/2278mR,3.5,,,2021-07-30
2021-08-01,House,1977,https://boxd.it/22bqkx,4,,,2021-07-31
2021-08-01,Moonrise Kingdom,2012,https://boxd.it/22hbLP,4.5,Yes,,2021-07-31
2021-08-02,What We Do in the Shadows,2014,https://boxd.it/22qxvR,3.5,,,2021-08-01
2021-08-03,Boogie Nights,1997,https://boxd.it/22zEZd,4,,,2021-08-02
2021-08-04,The Green Knight,2021,https://boxd.it/22GugV,4,,,2021-08-03
2021-08-05,A Single Man,2009,https://boxd.it/22RQfd,4,,,2021-08-04
2021-08-06,Platoon,1986,https://boxd.it/22WUOh,3.5,,,2021-08-05
2021-08-07,Beverly Hills Cop,1984,https://boxd.it/238CYd,2.5,,,2021-08-06
2021-08-10,Now You See Me,2013,https://boxd.it/23EsqT,2.5,,,2021-08-09
2021-08-11,Split,2016,https://boxd.it/23MiZP,3.5,,,2021-08-10
2021-08-12,Mulholland Drive,2001,https://boxd.it/23UjrP,4,,,2021-08-11
2021-08-13,The Suicide Squad,2021,https://boxd.it/241wv5,3,,,2021-08-12
2021-08-17,The Green Mile,1999,https://boxd.it/24D9cb,3,,,2021-08-16
2021-08-21,Scott Pilgrim vs. the World,2010,https://boxd.it/259Djl,4.5,Yes,,2021-08-20
2021-08-23,F9,2021,https://boxd.it/25nxEv,,,,2021-08-21
2021-09-05,Casino,1995,https://boxd.it/27j4jD,4,,,2021-09-04
